Fecha	Temperatura (K)	Humedad (%)	Presion (Pa)	Device ID
2025-12-02 17:09:38	295.77	58.95	81444	24:D7:EB:59:2E:30
2025-12-02 17:09:37	295.77	58.98	81443	24:D7:EB:59:2E:30
2025-12-02 17:09:37	295.77	58.96	81444	24:D7:EB:59:2E:30
2025-12-02 17:09:36	295.77	58.98	81445	24:D7:EB:59:2E:30
2025-12-02 17:09:35	295.77	59.0	81445	24:D7:EB:59:2E:30
2025-12-02 17:09:35	295.77	59.0	81445	24:D7:EB:59:2E:30
2025-12-02 17:09:34	295.77	59.01	81447	24:D7:EB:59:2E:30
2025-12-02 17:09:34	295.77	59.01	81447	24:D7:EB:59:2E:30
2025-12-02 17:09:33	295.77	59.06	81447	24:D7:EB:59:2E:30
2025-12-02 17:09:33	295.77	59.05	81445	24:D7:EB:59:2E:30
2025-12-02 17:09:32	295.77	59.08	81443	24:D7:EB:59:2E:30
2025-12-02 17:09:32	295.77	59.07	81446	24:D7:EB:59:2E:30
2025-12-02 17:09:31	295.77	59.12	81445	24:D7:EB:59:2E:30
2025-12-02 17:09:31	295.77	59.1	81446	24:D7:EB:59:2E:30
2025-12-02 17:09:30	295.77	59.16	81445	24:D7:EB:59:2E:30
2025-12-02 17:09:30	295.77	59.13	81447	24:D7:EB:59:2E:30
2025-12-02 17:09:29	295.77	59.18	81445	24:D7:EB:59:2E:30
2025-12-02 17:09:29	295.78	59.16	81445	24:D7:EB:59:2E:30
2025-12-02 17:09:28	295.77	59.23	81446	24:D7:EB:59:2E:30
2025-12-02 17:09:28	295.77	59.21	81446	24:D7:EB:59:2E:30
2025-12-02 17:09:27	295.77	59.24	81446	24:D7:EB:59:2E:30
2025-12-02 17:09:26	295.77	59.27	81446	24:D7:EB:59:2E:30
2025-12-02 17:09:26	295.77	59.25	81445	24:D7:EB:59:2E:30
2025-12-02 17:09:25	295.77	59.32	81445	24:D7:EB:59:2E:30
2025-12-02 17:09:25	295.77	59.31	81445	24:D7:EB:59:2E:30
2025-12-02 17:09:24	295.77	59.35	81445	24:D7:EB:59:2E:30
2025-12-02 17:09:24	295.77	59.34	81444	24:D7:EB:59:2E:30
2025-12-02 17:09:23	295.78	59.41	81446	24:D7:EB:59:2E:30
2025-12-02 17:09:23	295.77	59.4	81447	24:D7:EB:59:2E:30
2025-12-02 17:09:22	295.77	59.45	81442	24:D7:EB:59:2E:30
2025-12-02 17:09:22	295.76	59.45	81445	24:D7:EB:59:2E:30
2025-12-02 17:09:21	295.77	59.51	81447	24:D7:EB:59:2E:30
2025-12-02 17:09:21	295.77	59.49	81447	24:D7:EB:59:2E:30
2025-12-02 17:09:20	295.77	59.58	81445	24:D7:EB:59:2E:30
2025-12-02 17:09:20	295.77	59.54	81449	24:D7:EB:59:2E:30
2025-12-02 17:09:19	295.76	59.67	81446	24:D7:EB:59:2E:30
2025-12-02 17:09:19	295.76	59.64	81449	24:D7:EB:59:2E:30
2025-12-02 17:09:18	295.77	59.71	81446	24:D7:EB:59:2E:30
2025-12-02 17:09:17	295.77	59.8	81448	24:D7:EB:59:2E:30
2025-12-02 17:09:17	295.77	59.76	81446	24:D7:EB:59:2E:30
2025-12-02 17:09:16	295.77	59.89	81446	24:D7:EB:59:2E:30
2025-12-02 17:09:16	295.76	59.85	81447	24:D7:EB:59:2E:30
2025-12-02 17:09:15	295.76	60.03	81445	24:D7:EB:59:2E:30
2025-12-02 17:09:15	295.76	59.96	81448	24:D7:EB:59:2E:30
2025-12-02 17:09:14	295.77	60.15	81447	24:D7:EB:59:2E:30
2025-12-02 17:09:14	295.77	60.08	81448	24:D7:EB:59:2E:30
2025-12-02 17:09:13	295.76	60.3	81447	24:D7:EB:59:2E:30
2025-12-02 17:09:13	295.76	60.22	81448	24:D7:EB:59:2E:30
2025-12-02 17:09:12	295.78	60.47	81447	24:D7:EB:59:2E:30
2025-12-02 17:09:12	295.77	60.38	81447	24:D7:EB:59:2E:30
2025-12-02 17:09:11	295.77	60.66	81447	24:D7:EB:59:2E:30
2025-12-02 17:09:11	295.76	60.57	81445	24:D7:EB:59:2E:30
2025-12-02 17:09:10	295.77	60.79	81448	24:D7:EB:59:2E:30
2025-12-02 17:09:09	295.77	61.04	81447	24:D7:EB:59:2E:30
2025-12-02 17:09:09	295.78	60.91	81448	24:D7:EB:59:2E:30
2025-12-02 17:09:08	295.77	61.35	81447	24:D7:EB:59:2E:30
2025-12-02 17:09:08	295.78	61.18	81449	24:D7:EB:59:2E:30
2025-12-02 17:09:07	295.77	61.71	81447	24:D7:EB:59:2E:30
2025-12-02 17:09:07	295.77	61.5	81446	24:D7:EB:59:2E:30
2025-12-02 17:09:06	295.77	62.11	81448	24:D7:EB:59:2E:30
2025-12-02 17:09:06	295.78	61.88	81447	24:D7:EB:59:2E:30
2025-12-02 17:09:05	295.77	62.61	81446	24:D7:EB:59:2E:30
2025-12-02 17:09:05	295.77	62.32	81444	24:D7:EB:59:2E:30
2025-12-02 17:09:04	295.77	63.16	81448	24:D7:EB:59:2E:30
2025-12-02 17:09:04	295.77	62.84	81445	24:D7:EB:59:2E:30
2025-12-02 17:09:03	295.77	63.81	81447	24:D7:EB:59:2E:30
2025-12-02 17:09:03	295.77	63.45	81446	24:D7:EB:59:2E:30
2025-12-02 17:09:02	295.78	64.49	81449	24:D7:EB:59:2E:30
2025-12-02 17:09:02	295.78	64.12	81449	24:D7:EB:59:2E:30
2025-12-02 17:09:01	295.78	64.79	81448	24:D7:EB:59:2E:30
2025-12-02 17:09:00	295.78	65.38	81449	24:D7:EB:59:2E:30
2025-12-02 17:09:00	295.79	65.15	81448	24:D7:EB:59:2E:30
2025-12-02 17:08:59	295.80	65.62	81448	24:D7:EB:59:2E:30
2025-12-02 17:08:59	295.80	65.6	81447	24:D7:EB:59:2E:30
2025-12-02 17:08:58	295.83	64.96	81447	24:D7:EB:59:2E:30
2025-12-02 17:08:58	295.83	65.48	81446	24:D7:EB:59:2E:30
2025-12-02 17:08:57	295.82	63.51	81447	24:D7:EB:59:2E:30
2025-12-02 17:08:57	295.82	64.34	81447	24:D7:EB:59:2E:30
2025-12-02 17:08:56	295.78	61.71	81445	24:D7:EB:59:2E:30
2025-12-02 17:08:56	295.81	62.73	81446	24:D7:EB:59:2E:30
2025-12-02 17:08:55	295.73	60.21	81444	24:D7:EB:59:2E:30
2025-12-02 17:08:55	295.76	60.95	81443	24:D7:EB:59:2E:30
2025-12-02 17:08:54	295.70	59.32	81443	24:D7:EB:59:2E:30
2025-12-02 17:08:54	295.71	59.79	81444	24:D7:EB:59:2E:30
2025-12-02 17:08:53	295.68	58.92	81444	24:D7:EB:59:2E:30
2025-12-02 17:08:52	295.64	58.58	81446	24:D7:EB:59:2E:30
2025-12-02 17:08:52	295.66	58.67	81445	24:D7:EB:59:2E:30
2025-12-02 17:08:51	295.65	58.6	81447	24:D7:EB:59:2E:30
2025-12-02 17:08:51	295.65	58.59	81444	24:D7:EB:59:2E:30
2025-12-02 17:08:50	295.64	58.59	81446	24:D7:EB:59:2E:30
2025-12-02 17:08:50	295.64	58.6	81444	24:D7:EB:59:2E:30
2025-12-02 17:08:49	295.64	58.59	81443	24:D7:EB:59:2E:30
2025-12-02 17:08:49	295.64	58.6	81444	24:D7:EB:59:2E:30
2025-12-02 17:08:48	295.64	58.58	81443	24:D7:EB:59:2E:30
2025-12-02 17:08:48	295.64	58.6	81442	24:D7:EB:59:2E:30
2025-12-02 17:08:47	295.64	58.56	81446	24:D7:EB:59:2E:30
2025-12-02 17:08:47	295.63	58.58	81444	24:D7:EB:59:2E:30
2025-12-02 17:08:46	295.63	58.55	81441	24:D7:EB:59:2E:30
2025-12-02 17:08:46	295.64	58.55	81445	24:D7:EB:59:2E:30
2025-12-02 17:08:45	295.63	58.52	81443	24:D7:EB:59:2E:30
2025-12-02 17:08:45	295.63	58.53	81445	24:D7:EB:59:2E:30
2025-12-02 17:08:44	295.64	58.51	81446	24:D7:EB:59:2E:30
2025-12-02 17:08:43	295.63	58.51	81443	24:D7:EB:59:2E:30
2025-12-02 17:08:43	295.63	58.51	81446	24:D7:EB:59:2E:30
2025-12-02 17:08:42	295.63	58.5	81441	24:D7:EB:59:2E:30
2025-12-02 17:08:42	295.62	58.51	81442	24:D7:EB:59:2E:30
2025-12-02 17:08:41	295.62	58.5	81445	24:D7:EB:59:2E:30
2025-12-02 17:08:41	295.62	58.5	81446	24:D7:EB:59:2E:30
2025-12-02 17:08:40	295.62	58.49	81443	24:D7:EB:59:2E:30
2025-12-02 17:08:40	295.62	58.49	81446	24:D7:EB:59:2E:30
2025-12-02 17:08:39	295.63	58.49	81445	24:D7:EB:59:2E:30
2025-12-02 17:08:39	295.62	58.49	81446	24:D7:EB:59:2E:30
2025-12-02 17:08:38	295.62	58.51	81447	24:D7:EB:59:2E:30
2025-12-02 17:08:38	295.63	58.5	81448	24:D7:EB:59:2E:30
2025-12-02 17:08:37	295.62	58.51	81443	24:D7:EB:59:2E:30
2025-12-02 17:08:37	295.62	58.51	81444	24:D7:EB:59:2E:30
2025-12-02 17:08:36	295.62	58.51	81446	24:D7:EB:59:2E:30
2025-12-02 17:08:35	295.62	58.52	81445	24:D7:EB:59:2E:30
2025-12-02 17:08:35	295.62	58.52	81444	24:D7:EB:59:2E:30
2025-12-02 17:08:34	295.63	58.55	81446	24:D7:EB:59:2E:30
2025-12-02 17:08:34	295.63	58.53	81447	24:D7:EB:59:2E:30
2025-12-02 17:08:33	295.62	58.55	81445	24:D7:EB:59:2E:30
2025-12-02 17:08:33	295.62	58.54	81444	24:D7:EB:59:2E:30
2025-12-02 17:08:32	295.62	58.58	81446	24:D7:EB:59:2E:30
2025-12-02 17:08:32	295.63	58.57	81445	24:D7:EB:59:2E:30
2025-12-02 17:08:31	295.63	58.6	81446	24:D7:EB:59:2E:30
2025-12-02 17:08:31	295.62	58.59	81445	24:D7:EB:59:2E:30
2025-12-02 17:08:30	295.62	58.61	81444	24:D7:EB:59:2E:30
2025-12-02 17:08:30	295.62	58.6	81444	24:D7:EB:59:2E:30
2025-12-02 17:08:29	295.62	58.61	81447	24:D7:EB:59:2E:30
2025-12-02 17:08:29	295.62	58.61	81446	24:D7:EB:59:2E:30
2025-12-02 17:08:28	295.62	58.62	81444	24:D7:EB:59:2E:30
2025-12-02 17:08:28	295.62	58.61	81446	24:D7:EB:59:2E:30
2025-12-02 17:08:27	295.63	58.62	81448	24:D7:EB:59:2E:30
2025-12-02 17:08:26	295.62	58.63	81444	24:D7:EB:59:2E:30
2025-12-02 17:08:26	295.62	58.63	81444	24:D7:EB:59:2E:30
2025-12-02 17:08:25	295.62	58.66	81441	24:D7:EB:59:2E:30
2025-12-02 17:08:25	295.63	58.65	81445	24:D7:EB:59:2E:30
2025-12-02 17:08:24	295.62	58.66	81446	24:D7:EB:59:2E:30
2025-12-02 17:08:24	295.63	58.65	81445	24:D7:EB:59:2E:30
2025-12-02 17:08:23	295.62	58.64	81444	24:D7:EB:59:2E:30
2025-12-02 17:08:23	295.62	58.64	81444	24:D7:EB:59:2E:30
2025-12-02 17:08:22	295.62	58.66	81446	24:D7:EB:59:2E:30
2025-12-02 17:08:22	295.62	58.64	81445	24:D7:EB:59:2E:30
2025-12-02 17:08:21	295.63	58.64	81446	24:D7:EB:59:2E:30
2025-12-02 17:08:21	295.62	58.64	81444	24:D7:EB:59:2E:30
2025-12-02 17:08:20	295.63	58.63	81446	24:D7:EB:59:2E:30
2025-12-02 17:08:20	295.63	58.65	81446	24:D7:EB:59:2E:30
2025-12-02 17:08:19	295.62	58.62	81444	24:D7:EB:59:2E:30
2025-12-02 17:08:19	295.62	58.63	81446	24:D7:EB:59:2E:30
2025-12-02 17:08:18	295.62	58.62	81444	24:D7:EB:59:2E:30
2025-12-02 17:08:17	295.62	58.62	81444	24:D7:EB:59:2E:30
2025-12-02 17:08:17	295.62	58.61	81443	24:D7:EB:59:2E:30
2025-12-02 17:08:16	295.63	58.61	81444	24:D7:EB:59:2E:30
2025-12-02 17:08:16	295.62	58.61	81443	24:D7:EB:59:2E:30
2025-12-02 17:08:15	295.62	58.62	81444	24:D7:EB:59:2E:30
2025-12-02 17:08:15	295.62	58.62	81447	24:D7:EB:59:2E:30
2025-12-02 17:08:14	295.62	58.61	81448	24:D7:EB:59:2E:30
2025-12-02 17:08:14	295.62	58.62	81445	24:D7:EB:59:2E:30
2025-12-02 17:08:13	295.62	58.62	81447	24:D7:EB:59:2E:30
2025-12-02 17:08:13	295.62	58.61	81447	24:D7:EB:59:2E:30
2025-12-02 17:08:12	295.62	58.6	81445	24:D7:EB:59:2E:30
2025-12-02 17:08:12	295.61	58.61	81444	24:D7:EB:59:2E:30
2025-12-02 17:08:11	295.62	58.59	81446	24:D7:EB:59:2E:30
2025-12-02 17:08:11	295.62	58.59	81447	24:D7:EB:59:2E:30
2025-12-02 17:08:10	295.62	58.58	81446	24:D7:EB:59:2E:30
2025-12-02 17:08:09	295.62	58.57	81449	24:D7:EB:59:2E:30
2025-12-02 17:08:09	295.62	58.58	81448	24:D7:EB:59:2E:30
2025-12-02 17:08:08	295.62	58.59	81448	24:D7:EB:59:2E:30
2025-12-02 17:08:08	295.62	58.58	81449	24:D7:EB:59:2E:30
2025-12-02 17:08:07	295.62	58.59	81451	24:D7:EB:59:2E:30
2025-12-02 17:08:07	295.62	58.59	81448	24:D7:EB:59:2E:30
2025-12-02 17:08:06	295.62	58.61	81451	24:D7:EB:59:2E:30
2025-12-02 17:08:06	295.62	58.6	81450	24:D7:EB:59:2E:30
2025-12-02 17:08:05	295.61	58.63	81448	24:D7:EB:59:2E:30
2025-12-02 17:08:05	295.61	58.63	81448	24:D7:EB:59:2E:30
2025-12-02 17:08:04	295.62	58.67	81448	24:D7:EB:59:2E:30
2025-12-02 17:08:04	295.61	58.67	81447	24:D7:EB:59:2E:30
2025-12-02 17:08:03	295.62	58.7	81446	24:D7:EB:59:2E:30
2025-12-02 17:08:03	295.62	58.69	81448	24:D7:EB:59:2E:30
2025-12-02 17:08:02	295.62	58.72	81444	24:D7:EB:59:2E:30
2025-12-02 17:08:02	295.62	58.72	81448	24:D7:EB:59:2E:30
2025-12-02 17:08:01	295.62	58.73	81445	24:D7:EB:59:2E:30
2025-12-02 17:08:00	295.62	58.73	81443	24:D7:EB:59:2E:30
2025-12-02 17:08:00	295.62	58.73	81445	24:D7:EB:59:2E:30
2025-12-02 17:07:59	295.62	58.72	81443	24:D7:EB:59:2E:30
2025-12-02 17:07:59	295.62	58.72	81442	24:D7:EB:59:2E:30
