Fecha,Temperatura (K),Humedad (%),Presion (Pa),MAC Address,Alias
2025-12-03 16:35:21,295.49,58.19,81554,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:22,295.50,58.2,81556,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:23,295.50,58.18,81553,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:23,295.49,58.18,81554,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:24,295.50,58.18,81550,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:24,295.50,58.17,81553,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:25,295.49,58.15,81555,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:25,295.51,58.16,81553,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:26,295.50,58.14,81551,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:26,295.49,58.14,81553,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:27,295.51,58.13,81556,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:27,295.50,58.12,81553,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:28,295.51,58.12,81554,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:28,295.50,58.12,81556,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:29,295.50,58.12,81551,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:29,295.50,58.11,81553,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:30,295.50,58.11,81557,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:30,295.51,58.1,81555,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:31,295.50,58.11,81554,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:32,295.50,58.1,81553,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:32,295.50,58.1,81556,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:33,295.50,58.1,81552,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:33,295.51,58.09,81558,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:34,295.50,58.1,81552,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:34,295.50,58.09,81555,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:35,295.51,58.09,81552,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:35,295.50,58.09,81549,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:36,295.50,58.09,81555,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:36,295.51,58.09,81553,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:37,295.50,58.09,81555,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:37,295.50,58.09,81551,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:38,295.51,58.08,81553,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:38,295.51,58.08,81551,24:D7:EB:59:2E:30,BuenosDias
2025-12-03 16:35:42,295.50,58.07,81554,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:43,295.51,58.07,81554,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:43,295.51,58.08,81555,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:44,295.50,58.07,81556,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:44,295.51,58.07,81556,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:35:45,295.51,58.06,81556,24:D7:EB:59:2E:30,NuevoAlias
