Fecha	Temperatura (K)	Humedad (%)	Presion (Pa)	Device ID
2025-12-02 16:49:13	295.65	59.12	81442	24
2025-12-02 16:49:12	295.65	59.11	81443	24
2025-12-02 16:49:12	295.65	59.11	81441	24
2025-12-02 16:44:59	295.64	59.47	81437	24
2025-12-02 16:44:59	295.64	59.47	81438	24
2025-12-02 16:44:58	295.64	59.47	81437	24
2025-12-02 16:44:58	295.64	59.48	81436	24
2025-12-02 16:44:57	295.65	59.47	81438	24
2025-12-02 16:44:57	295.64	59.48	81438	24
2025-12-02 16:44:56	295.64	59.47	81438	24
2025-12-02 16:44:56	295.65	59.47	81440	24
2025-12-02 16:44:55	295.64	59.48	81437	24
2025-12-02 16:44:55	295.65	59.48	81436	24
2025-12-02 16:44:54	295.64	59.47	81439	24
2025-12-02 16:44:54	295.64	59.48	81438	24
2025-12-02 16:44:53	295.64	59.48	81433	24
2025-12-02 16:44:52	295.65	59.49	81437	24
2025-12-02 16:44:52	295.64	59.51	81437	24
2025-12-02 16:44:51	295.64	59.51	81438	24
2025-12-02 16:44:51	295.64	59.5	81440	24
2025-12-02 16:44:50	295.64	59.51	81440	24
2025-12-02 16:44:50	295.65	59.51	81439	24
2025-12-02 16:44:49	295.64	59.53	81439	24
2025-12-02 16:44:49	295.64	59.53	81437	24
2025-12-02 16:44:48	295.64	59.53	81438	24
2025-12-02 16:44:48	295.64	59.53	81439	24
2025-12-02 16:44:47	295.64	59.53	81440	24
2025-12-02 16:44:47	295.64	59.53	81437	24
2025-12-02 16:44:46	295.65	59.53	81437	24
2025-12-02 16:44:46	295.64	59.53	81438	24
2025-12-02 16:44:45	295.65	59.53	81440	24
2025-12-02 16:44:45	295.64	59.53	81439	24
2025-12-02 16:44:44	295.64	59.54	81439	24
2025-12-02 16:44:43	295.64	59.54	81440	24
2025-12-02 16:44:43	295.64	59.54	81438	24
2025-12-02 16:44:42	295.64	59.54	81435	24
2025-12-02 16:44:42	295.64	59.54	81439	24
2025-12-02 16:44:41	295.64	59.55	81443	24
2025-12-02 16:44:41	295.64	59.54	81440	24
2025-12-02 16:44:40	295.64	59.55	81443	24
2025-12-02 16:44:40	295.65	59.55	81443	24
2025-12-02 16:44:39	295.65	59.56	81440	24
2025-12-02 16:44:39	295.65	59.55	81441	24
2025-12-02 16:44:38	295.64	59.56	81441	24
2025-12-02 16:44:38	295.65	59.55	81437	24
2025-12-02 16:44:37	295.65	59.56	81439	24
2025-12-02 16:44:37	295.64	59.55	81438	24
2025-12-02 16:44:36	295.64	59.55	81437	24
2025-12-02 16:44:35	295.65	59.56	81437	24
2025-12-02 16:44:35	295.64	59.55	81432	24
2025-12-02 16:44:34	295.64	59.55	81435	24
2025-12-02 16:44:34	295.64	59.55	81438	24
2025-12-02 16:44:33	295.64	59.55	81434	24
2025-12-02 16:44:33	295.64	59.55	81435	24
2025-12-02 16:44:32	295.64	59.55	81438	24
2025-12-02 16:44:32	295.64	59.56	81434	24
2025-12-02 16:44:31	295.64	59.56	81436	24
2025-12-02 16:44:31	295.64	59.55	81437	24
2025-12-02 16:44:30	295.64	59.56	81440	24
2025-12-02 16:44:30	295.64	59.57	81440	24
2025-12-02 16:44:29	295.64	59.58	81439	24
2025-12-02 16:44:29	295.64	59.57	81439	24
2025-12-02 16:44:28	295.63	59.58	81438	24
2025-12-02 16:44:28	295.64	59.57	81440	24
2025-12-02 16:44:27	295.64	59.57	81440	24
2025-12-02 16:44:26	295.63	59.59	81439	24
2025-12-02 16:44:26	295.65	59.58	81439	24
2025-12-02 16:44:25	295.64	59.59	81437	24
2025-12-02 16:44:25	295.63	59.59	81440	24
2025-12-02 16:44:24	295.64	59.59	81438	24
2025-12-02 16:44:24	295.64	59.59	81438	24
2025-12-02 16:44:23	295.64	59.59	81438	24
2025-12-02 16:44:23	295.64	59.6	81440	24
2025-12-02 16:44:22	295.64	59.6	81440	24
2025-12-02 16:44:22	295.64	59.6	81435	24
2025-12-02 16:44:21	295.64	59.6	81442	24
2025-12-02 16:44:21	295.64	59.6	81438	24
2025-12-02 16:44:20	295.64	59.59	81438	24
2025-12-02 16:44:20	295.64	59.6	81440	24
2025-12-02 16:44:19	295.64	59.59	81437	24
2025-12-02 16:44:18	295.64	59.59	81439	24
2025-12-02 16:44:18	295.64	59.6	81439	24
2025-12-02 16:44:17	295.64	59.59	81438	24
2025-12-02 16:44:17	295.64	59.58	81439	24
2025-12-02 16:44:16	295.64	59.6	81439	24
2025-12-02 16:44:16	295.64	59.6	81437	24
2025-12-02 16:44:15	295.64	59.59	81436	24
2025-12-02 16:44:15	295.64	59.59	81439	24
2025-12-02 16:44:14	295.64	59.6	81438	24
2025-12-02 16:44:14	295.64	59.6	81439	24
2025-12-02 16:44:13	295.64	59.59	81438	24
2025-12-02 16:44:13	295.64	59.59	81437	24
2025-12-02 16:44:12	295.64	59.58	81437	24
2025-12-02 16:44:12	295.64	59.58	81435	24
2025-12-02 16:44:11	295.64	59.57	81436	24
2025-12-02 16:44:11	295.64	59.58	81437	24
2025-12-02 16:44:10	295.64	59.58	81432	24
2025-12-02 16:44:09	295.64	59.57	81436	24
2025-12-02 16:44:09	295.63	59.59	81435	24
2025-12-02 16:44:08	295.64	59.59	81434	24
2025-12-02 16:44:08	295.64	59.59	81437	24
2025-12-02 16:44:07	295.63	59.58	81439	24
2025-12-02 16:44:07	295.63	59.59	81434	24
2025-12-02 16:44:06	295.63	59.58	81439	24
2025-12-02 16:44:06	295.64	59.57	81437	24
2025-12-02 16:44:05	295.63	59.57	81437	24
2025-12-02 16:44:05	295.64	59.57	81438	24
2025-12-02 16:44:04	295.64	59.57	81437	24
2025-12-02 16:44:04	295.63	59.58	81437	24
2025-12-02 16:44:03	295.63	59.57	81435	24
2025-12-02 16:44:03	295.63	59.57	81439	24
2025-12-02 16:44:02	295.63	59.58	81436	24
2025-12-02 16:44:01	295.64	59.58	81439	24
2025-12-02 16:44:01	295.63	59.57	81436	24
2025-12-02 16:44:00	295.63	59.57	81438	24
2025-12-02 16:44:00	295.63	59.58	81438	24
2025-12-02 16:43:59	295.63	59.57	81440	24
2025-12-02 16:43:59	295.63	59.57	81437	24
2025-12-02 16:43:58	295.63	59.57	81434	24
2025-12-02 16:43:58	295.63	59.57	81438	24
2025-12-02 16:43:57	295.64	59.57	81438	24
2025-12-02 16:43:57	295.63	59.57	81438	24
2025-12-02 16:43:56	295.63	59.57	81437	24
2025-12-02 16:43:56	295.63	59.57	81439	24
2025-12-02 16:43:55	295.64	59.57	81437	24
2025-12-02 16:43:55	295.63	59.57	81440	24
2025-12-02 16:43:54	295.63	59.57	81437	24
2025-12-02 16:43:54	295.63	59.57	81438	24
2025-12-02 16:43:53	295.63	59.57	81436	24
2025-12-02 16:43:52	295.63	59.57	81436	24
2025-12-02 16:43:52	295.63	59.57	81435	24
2025-12-02 16:43:51	295.63	59.57	81438	24
2025-12-02 16:43:51	295.63	59.57	81435	24
2025-12-02 16:43:50	295.63	59.57	81433	24
2025-12-02 16:43:50	295.63	59.57	81435	24
2025-12-02 16:43:49	295.63	59.58	81439	24
2025-12-02 16:43:49	295.63	59.57	81434	24
2025-12-02 16:43:48	295.63	59.57	81439	24
2025-12-02 16:43:48	295.63	59.57	81437	24
2025-12-02 16:43:47	295.63	59.57	81436	24
2025-12-02 16:43:47	295.63	59.57	81435	24
2025-12-02 16:43:46	295.63	59.58	81434	24
2025-12-02 16:43:46	295.63	59.58	81439	24
2025-12-02 16:43:45	295.63	59.59	81436	24
2025-12-02 16:43:45	295.64	59.59	81436	24
2025-12-02 16:43:44	295.63	59.58	81437	24
2025-12-02 16:43:43	295.63	59.59	81436	24
2025-12-02 16:43:43	295.63	59.6	81438	24
2025-12-02 16:43:42	295.63	59.6	81436	24
2025-12-02 16:43:42	295.62	59.59	81437	24
2025-12-02 16:43:41	295.63	59.59	81436	24
2025-12-02 16:43:41	295.63	59.59	81434	24
2025-12-02 16:43:40	295.63	59.59	81435	24
2025-12-02 16:43:40	295.63	59.59	81436	24
2025-12-02 16:43:39	295.64	59.59	81436	24
2025-12-02 16:43:39	295.63	59.59	81439	24
2025-12-02 16:43:38	295.63	59.58	81435	24
2025-12-02 16:43:38	295.63	59.59	81437	24
2025-12-02 16:43:37	295.63	59.58	81437	24
2025-12-02 16:43:37	295.63	59.58	81442	24
2025-12-02 16:43:36	295.63	59.58	81438	24
2025-12-02 16:43:35	295.63	59.58	81436	24
2025-12-02 16:43:35	295.63	59.59	81436	24
2025-12-02 16:43:34	295.62	59.58	81435	24
2025-12-02 16:43:34	295.64	59.58	81438	24
2025-12-02 16:43:33	295.63	59.58	81437	24
2025-12-02 16:43:33	295.63	59.58	81437	24
2025-12-02 16:43:32	295.63	59.59	81438	24
2025-12-02 16:43:31	295.63	59.59	81435	24
2025-12-02 16:43:31	295.63	59.59	81435	24
2025-12-02 16:43:30	295.63	59.59	81435	24
2025-12-02 16:43:30	295.63	59.57	81436	24
2025-12-02 16:43:29	295.63	59.59	81438	24
2025-12-02 16:43:29	295.63	59.58	81436	24
2025-12-02 16:43:28	295.63	59.58	81434	24
2025-12-02 16:43:28	295.63	59.57	81436	24
2025-12-02 16:43:27	295.63	59.58	81436	24
2025-12-02 16:43:26	295.64	59.58	81436	24
2025-12-02 16:43:26	295.63	59.59	81438	24
2025-12-02 16:43:25	295.63	59.59	81435	24
2025-12-02 16:43:25	295.63	59.59	81436	24
2025-12-02 16:43:24	295.62	59.58	81433	24
2025-12-02 16:43:24	295.63	59.58	81435	24
2025-12-02 16:43:23	295.63	59.58	81435	24
2025-12-02 16:43:23	295.63	59.59	81435	24
2025-12-02 16:43:22	295.63	59.59	81437	24
2025-12-02 16:43:22	295.63	59.59	81438	24
2025-12-02 16:43:21	295.63	59.59	81433	24
2025-12-02 16:43:21	295.62	59.59	81436	24
